Brand;Title;Kilometer;Gas Type;Gear Box;Year;Price
Abarth;Abarth 595 Turismo;145 000;Gasolina;Manual;2015;16 000
Abarth;Abarth 500e;N/A;Eléctrico;Automática;2024;37 981
Abarth;Abarth 695 1.4 T-Jet MTA;N/A;Gasolina;Automática;2024;36 612
Abarth;Abarth 500 1.4 16V;122 000;Gasolina;Manual;2009;13 990
Abarth;Abarth 595 1.4 T-Jet Competizione MTA;134 000;Gasolina;Automática;2016;18 999
Abarth;Abarth 500C 1.4 16V Auto;129 000;Gasolina;Automática;2010;15 600
Abarth;Abarth 595 1.4 T-Jet Turismo;39 000;Gasolina;Manual;2021;26 990
Abarth;Abarth Grande Punto 1.4 T-Jet Supersport;100 000;Gasolina;Manual;2008;13 900
Abarth;Abarth 595 1.4 T-Jet Competizione;33 000;Gasolina;Manual;2019;26 990
Abarth;Abarth 595;13 000;Gasolina;Manual;2021;23 500
Abarth;Abarth 695 1.4 T-Jet Tributo 131 Rally;30 811;Gasolina;Manual;2022;33 000
Abarth;Abarth 595C 1.4 T-Jet F595;24 000;Gasolina;Manual;2021;27 900
Abarth;Abarth Punto Evo 1.4 T M-Air;132 100;Gasolina;Manual;2011;12 980
Abarth;Abarth 595 1.4 T-Jet Yamaha Monster Energy;19 000;Gasolina;Manual;2021;29 500
Abarth;Abarth 695 1.4 T-Jet Rivale MTA;6 500;Gasolina;Automática;2019;28 900
Abarth;Abarth 695 70 Anniversario;38 000;Gasolina;Manual;2020;28 650
Abarth;Abarth 500e Scorpionissima;10 408;Eléctrico;Automática;2023;40 000
Abarth;Abarth 595C 1.4 T-Jet Competizione;34 000;Gasolina;Manual;2021;25 750
Abarth;Abarth 500 1.4 T-Jet Elaborazione;177 000;Gasolina;Manual;2012;12 950
Abarth;Abarth 595C 1.4 T-Jet Turismo;87 000;Gasolina;Manual;2017;19 500
Abarth;Abarth 595;13;Gasolina;Manual;2023;30 950
Abarth;Abarth 500 1.4 T-Jet Turismo;147 000;Gasolina;Manual;2014;13 990
Abarth;Abarth 695C 1.4 T-Jet MTA;1 100;Gasolina;Automática;2024;36 900
Abarth;Abarth 500 1.4 T-Jet;83 000;Gasolina;Manual;2010;14 900
Abarth;Abarth 695 1.4 T-Jet 75 Anniversário;120;Gasolina;Manual;2024;49 900
Abarth;Abarth 595C;115 000;Gasolina;Manual;2013;14 990
Abarth;Abarth 595C 1.4 T-Jet Turismo;60 000;Gasolina;Manual;2018;20 900
Abarth;Abarth Punto Evo 1.4 T M-Air;203 782;Gasolina;Manual;2010;11 980
Abarth;Abarth 500 1.4 T-Jet Essesse;114 850;Gasolina;Manual;2012;13 990
Abarth;Abarth 595 1.4 T-Jet Esseesse;11 000;Gasolina;Manual;2020;28 950
Abarth;Abarth 695C 1.4 T-Jet Rivale MTA;46 272;Gasolina;Automática;2019;26 490
Abarth;Abarth 695C 1.4 T-Jet Rivale MTA;38 196;Gasolina;Automática;2019;32 900
Abarth;Abarth 595C 1.4 T-Jet 595;48 523;Gasolina;Manual;2019;23 950
Abarth;Abarth 595 1.4 T-Jet;100;Gasolina;Manual;2024;29 200
Abarth;Abarth 500e Scorpionissima;7 000;Eléctrico;Automática;2023;34 990
Abarth;Abarth 500e Scorpionissima;1 100;Eléctrico;Automática;2023;36 990
Abarth;Abarth 595 1.4 T-Jet Turismo MTA;51 000;Gasolina;Automática;2018;21 500
Abarth;Abarth 695C;38 256;Gasolina;Automática;2019;29 990
Abarth;Abarth 595C;119 000;Gasolina;Automática;2016;17 490
